< -3.00 +0.00 +0.00 0.008>
< -2.50 +0.00 +0.00 0.011>
< -2.00 +0.00 +0.00 0.019>
< -1.00 +0.00 +0.00 0.102>
< -0.75 +0.00 +0.00 0.168>
< -0.50 +0.00 +0.00 0.260>
< -0.25 +0.00 +0.00 0.372>
< 0.00 +0.00 +0.00 0.500>
< 0.25 +0.00 +0.00 0.626>
< 0.50 +0.00 +0.00 0.737>
< 0.75 +0.00 +0.00 0.823>
< 1.00 +0.00 +0.00 0.883>
< 1.25 +0.00 +0.00 0.921>
< 1.50 +0.00 +0.00 0.944>
< 2.00 +0.00 +0.00 0.963>
< 2.50 +0.00 +0.00 0.970>
< 3.50 +0.00 +0.00 0.980>
< 4.00 +0.00 +0.00 0.984>
< 5.00 +0.00 +0.00 0.991>
< 5.50 +0.00 +0.00 0.994>
